label,options,detection_signals,priority_action
客户类型,"批发;转售;自用;平台卖家;Dropshipper;影响者","一次询价量大;提及代售/用途;询问MOQ","批发→阶梯价与库存保证;转售→长期供货与快速补货;自用→单件优惠"
意向商品（品类）,"鞋类;服装;饰品;包袋;电子;家居;其他","询问款式/品牌/SKU;上传图片请求","根据品类推相应素材库与主推版本"
预算区间,"低(<$50);中($50-$200);高(>$200);未明确","客户直接问价位或出现比价词","按预算推荐对应版本并标注利润空间"
购买目的,"自用;转售;批发补货;赠礼;测评样品","客户说明用途/是否代售/为谁买","根据目的推荐包装、发货与售后策略"
意向数量,"单件;小批(2-9);中批(10-99);大批(100+)","询问MOQ/批发价;一次询价量","触发阶梯价、库存锁定和发货优先级"
价格敏感度,"高;中;低","频繁砍价;比价请求","高→用非现金优惠或条件交换；低→强调价值与质量"
付款偏好,"PayPal;信用卡;Wise;T/T;货到付款;其他","询问支付方式;是否提平台担保","按偏好给出风控话术与分段付款规则"
信任等级（Trust Score）,"高;中;低;未验证","历史成交记录;地址验证;资料完整度","低→限制高风险支付与大额发货；高→优先服务"
物流敏感度,"高(时效优先);中;低","反复问时效;要求加急","高→提供快递/优先仓与加急费用说明"
退货/投诉历史,"无;少量;多次","历史索赔记录;退货率高","高频退货客户加强发货凭证与验货提醒"
语言/地区（Locale）,"国家枚举;语言(EN/ES/FR/ZH/...)","使用语言;询问时区;发问时间","匹配语言客服并在活跃时段推送"
渠道来源,"微信;WhatsApp;Instagram;阿里/平台站内;Email;其他","首问渠道来源","为渠道配置专属话术模板与自动回复"
促销响应度,"高;中;低","历史接受促销或询问折扣","高→定向推送限时/私域折扣"
议价风格,"强议价;理性议价;不议价","主动压价/频繁比价","强议价→使用价值锚与数量转移策略"
合规/敏感市场标记,"是;否","询问申报内容;目标市场受限","提供合规申报方案与免责声明"
急单/优先级,"急单(24-48h);正常;无时限","要求指定发货日期或快速发货","评估库存并告知加急费用/可行性"
顾客生命周期阶段,"新客;潜在(B);成交(A);复购(VIP);流失","购买次数;上次购买时间","触发不同运营流程与关怀策略"
客户分层,"A(高价值/VIP);B(高意向/潜力);C(一般/偶购);D(低价值/仅咨询)","历史购买次数/金额高;复购间隔短;互动主动;响应促销","A→专属客服/优先发货/个性化优惠;B→跟进促单与批量优惠;C→常规促销触达;D→低投入筛选"
平均客单价区间（AOV）,"低;中;高","历史订单均价","高AOV提供个性化服务并优先发货"
意向时间窗（购买紧迫度）,"立即;本周;本月;模糊","问'现在能发吗'或指定日期","立即→明确库存与运费并优先处理"
